year,iso3_o,iso3_d,X_ij_usd,home,area_km2,d_HM_polygon,d_HM_cepii
2010,ABW,ABW,0.0,1,170.8041347820927,4.940251472022605,32.0
2010,AFG,AFG,0.0,1,643830.7383041237,303.30929528471574,51.0
2010,AGO,AGO,0.0,1,1252237.064938482,423.0027039460673,27.0
2010,ALB,ALB,0.0,1,28361.756434455638,63.65996974529519,8.0
2010,AND,AND,0.0,1,452.5054944228207,8.041032080684705,32.0
2010,ARE,ARE,0.0,1,71406.55256747246,101.01105323901676,24.0
2010,ARG,ARG,0.0,1,2789349.098314692,631.3225500263089,115.0
2010,ARM,ARM,0.0,1,29621.165401161375,65.05803427400409,32.0
2010,ASM,ASM,0.0,1,181.37575219664646,5.0908403729300185,32.0
2010,ATG,ATG,0.0,1,454.35681333585575,8.057464278592924,32.0
2010,AUS,AUS,0.0,1,7723183.143068251,1050.504780645481,133.0
2010,AUT,AUT,0.0,1,83943.46226303668,109.51996724871013,32.0
2010,AZE,AZE,0.0,1,86345.72484429444,111.0760138995252,39.0
2010,BDI,BDI,0.0,1,27222.408762751245,62.36819019095854,32.0
2010,BEL,BEL,0.0,1,30629.734380542333,66.1563416993308,34.0
2010,BEN,BEN,0.0,1,116851.06562848772,129.21597384207433,13.0
2010,BFA,BFA,0.0,1,274439.9904022321,198.0266151072291,49.0
2010,BGD,BGD,0.0,1,137523.62401599262,140.18079560564615,47.0
2010,BGR,BGR,0.0,1,112820.34903654722,126.96779745967225,30.0
2010,BHR,BHR,0.0,1,690.9460042229628,9.936236528240993,5.0
2010,BHS,BHS,0.0,1,12660.458574167305,42.53285980814658,32.0
2010,BIH,BIH,0.0,1,51837.34398431775,86.0639425410148,8.0
2010,BLR,BLR,0.0,1,207094.82834368097,172.0221982574769,46.0
2010,BLZ,BLZ,0.0,1,22421.38073702063,56.60190434828568,32.0
2010,BMU,BMU,0.0,1,62.482331357185295,2.9879854558047154,32.0
2010,BOL,BOL,0.0,1,1092895.4562693115,395.1747402884128,84.0
2010,BRA,BRA,0.0,1,8523997.165858809,1103.6249614966569,257.0
2010,BRB,BRB,0.0,1,446.87636928130553,7.990860725040984,32.0
2010,BRN,BRN,0.0,1,5754.598388852121,28.67526078470808,32.0
2010,BTN,BTN,0.0,1,40578.24402617018,76.14589420984879,32.0
2010,BWA,BWA,0.0,1,581814.8521827072,288.33161734177935,32.0
2010,CAF,CAF,0.0,1,622033.2977327451,298.1306884718561,32.0
2010,CAN,CAN,0.0,1,9916643.681172984,1190.3706785586135,197.0
2010,CHE,CHE,581208571.904,1,41418.624990723096,76.93034940399937,37.0
2010,CHL,CHL,0.0,1,738017.5908693884,324.7380833582432,58.0
2010,CHN,CHN,0.0,1,9394405.830446983,1158.6026701671908,494.0
2010,CIV,CIV,0.0,1,322759.69040064607,214.7531345101104,20.0
2010,CMR,CMR,0.0,1,467375.59970941115,258.4240236036874,31.0
2010,COD,COD,0.0,1,2340650.457490021,578.3199148612013,78.0
2010,COG,COG,0.0,1,347204.11493899877,222.73696524467996,15.0
2010,COL,COL,0.0,1,1142648.2428770713,404.06956901861207,117.0
2010,COM,COM,0.0,1,1682.493902864923,15.505172986446702,32.0
2010,CPV,CPV,0.0,1,3949.174014878394,23.754888797758053,32.0
2010,CRI,CRI,0.0,1,51475.48962436054,85.76302866996566,13.0
2010,CUB,CUB,0.0,1,110468.82889067553,125.63763172547172,30.0
2010,CYP,CYP,0.0,1,5407.600046404226,27.797270155061046,32.0
2010,CZE,CZE,0.0,1,78672.97539094547,106.02606757145968,46.0
2010,DEU,DEU,0.0,1,357176.7668533978,225.91312714507023,
2010,DEU,DEU,0.0,1,357176.7668533978,225.91312714507023,
2010,DEU,DEU,0.0,1,357176.7668533978,225.91312714507023,
2010,DEU,DEU,0.0,1,357176.7668533978,225.91312714507023,99.0
2010,DJI,DJI,0.0,1,21982.29167780024,56.04493236743664,4.0
2010,DMA,DMA,0.0,1,734.5382348557262,10.24488457770159,32.0
2010,DNK,DNK,0.0,1,42589.84994869746,78.01047482915898,20.0
2010,DOM,DOM,0.0,1,48697.897679164045,83.41707796336226,23.0
2010,DZA,DZA,0.0,1,2317478.592597702,575.450182194487,53.0
2010,ECU,ECU,0.0,1,256729.01893487625,191.53023739211406,42.0
2010,EGY,EGY,0.0,1,1005118.657888946,378.9732304412443,51.0
2010,ERI,ERI,0.0,1,123247.52952970158,132.70551682525476,6.0
2010,ESP,ESP,0.0,1,507461.4824634778,269.2783318782355,122.0
2010,EST,EST,0.0,1,45678.20650077827,80.7894009964829,12.0
2010,ETH,ETH,0.0,1,1134602.9167184194,402.64453991105336,
2010,ETH,ETH,0.0,1,1134602.9167184194,402.64453991105336,
2010,ETH,ETH,0.0,1,1134602.9167184194,402.64453991105336,
2010,ETH,ETH,0.0,1,1134602.9167184194,402.64453991105336,24.0
2010,FIN,FIN,0.0,1,331677.3179975462,217.6996610411212,40.0
2010,FJI,FJI,0.0,1,19034.235879353542,52.151594331876524,32.0
2010,FRA,FRA,2646837035.008,1,637161.2161776394,301.7341962810664,129.0
2010,FRO,FRO,2301178.368,1,1323.5300361240006,13.752028608793728,32.0
2010,FSM,FSM,0.0,1,637.9735666724608,9.547753736108024,32.0
2010,GAB,GAB,0.0,1,261718.20298380536,193.3823489650909,9.0
2010,GBR,GBR,0.0,1,243280.44674586668,186.4461709530193,98.0
2010,GEO,GEO,0.0,1,69617.74863207864,99.73781589820443,16.0
2010,GHA,GHA,0.0,1,240212.93102381073,185.26699507608285,31.0
2010,GIN,GIN,0.0,1,245839.37435399264,187.4241661524843,11.0
2010,GMB,GMB,0.0,1,10564.199300363442,38.85242755131386,5.0
2010,GNB,GNB,0.0,1,33031.11456146878,68.70075035336188,7.0
2010,GNQ,GNQ,0.0,1,26850.91556444187,61.941171620309674,5.0
2010,GRC,GRC,0.0,1,131537.62362312668,137.0960247540347,42.0
2010,GRD,GRD,0.0,1,349.3907794640942,7.065706381320088,32.0
2010,GRL,GRL,0.0,1,2142676.2084874306,553.3222573704224,32.0
2010,GTM,GTM,0.0,1,109437.32719823354,125.04968589583258,18.0
2010,GUM,GUM,0.0,1,567.5751711436208,9.005577349088838,32.0
2010,GUY,GUY,0.0,1,212614.39664711032,174.29952377491486,32.0
2010,HKG,HKG,0.0,1,1041.1643982460757,12.197182473166938,12.0
2010,HND,HND,0.0,1,112893.86318110784,127.0091570596312,22.0
2010,HRV,HRV,0.0,1,55023.085972933804,88.66910777508474,15.0
2010,HTI,HTI,0.0,1,27034.594813205957,62.15267124130387,9.0
2010,HUN,HUN,0.0,1,93154.74691409993,115.37251542239886,32.0
2010,IDN,IDN,0.0,1,1892366.613635288,519.9989958936168,
2010,IDN,IDN,0.0,1,1892366.613635288,519.9989958936168,
2010,IDN,IDN,0.0,1,1892366.613635288,519.9989958936168,
2010,IDN,IDN,0.0,1,1892366.613635288,519.9989958936168,87.0
2010,IND,IND,1708458901.504,1,3165389.0057574804,672.5327087153261,395.0
2010,IRL,IRL,0.0,1,69315.0590053111,99.5207556686765,18.0
2010,IRN,IRN,0.0,1,1627124.0526065666,482.18111717201833,134.0
2010,IRQ,IRQ,0.0,1,438564.0851914716,250.3320167423102,69.0
2010,ISL,ISL,0.0,1,101950.44024513745,120.69642847878215,32.0
2010,ISR,ISR,0.0,1,22169.560574984076,56.283151716848806,34.0
2010,ITA,ITA,0.0,1,301351.37690756936,207.50877013614726,125.0
2010,JAM,JAM,0.0,1,11092.81996975093,39.81262825065287,12.0
2010,JOR,JOR,0.0,1,89139.83724395768,112.85889265278252,13.0
2010,JPN,JPN,0.0,1,374167.98425907677,231.22414301295373,164.0
2010,KAZ,KAZ,0.0,1,2712412.5162758897,622.5550154093993,163.0
2010,KEN,KEN,0.0,1,589637.1364584223,290.26340166363053,28.0
2010,KGZ,KGZ,0.0,1,199157.4872629571,168.69343650445052,32.0
2010,KHM,KHM,0.0,1,182160.7470405875,161.33450676348272,11.0
2010,KIR,KIR,0.0,1,956.2439777720776,11.689184752366307,32.0
2010,KNA,KNA,0.0,1,265.5918797909252,6.160376602877817,32.0
2010,KOR,KOR,0.0,1,98741.41387571572,118.78170015010264,47.0
2010,KWT,KWT,0.0,1,17535.10850282341,50.05576408425341,22.0
2010,LAO,LAO,0.0,1,229338.99422804554,181.02510920184565,10.0
2010,LBN,LBN,0.0,1,10029.577474047637,37.85656328663984,15.0
2010,LBR,LBR,0.0,1,95923.87877338374,117.07474813028833,9.0
2010,LBY,LBY,0.0,1,1630170.1447310953,482.6322448332201,40.0
2010,LCA,LCA,0.0,1,608.7476692878207,9.326496295773998,32.0
2010,LIE,LIE,5082366.464,1,137.1835958768624,4.427422395837381,32.0
2010,LKA,LKA,0.0,1,66722.4750185244,97.64183671612975,7.0
2010,LSO,LSO,0.0,1,30210.60287402155,65.7021471197819,32.0
2010,LTU,LTU,0.0,1,64786.082368033276,96.21454397144288,13.0
2010,LUX,LUX,0.0,1,2605.6048862846137,19.295416006986233,32.0
2010,LVA,LVA,0.0,1,64402.9934794647,95.9296573822608,14.0
2010,MAC,MAC,0.0,1,30.221151637923683,2.0780470258689343,2.0
2010,MAR,MAR,0.0,1,593756.8490366904,291.27565161618014,66.0
2010,MCO,MCO,5350993.408,1,18.84543771706592,1.6409788397822358,32.0
2010,MDA,MDA,0.0,1,33189.91853806769,68.86569893222746,10.0
2010,MDG,MDG,0.0,1,596082.7358924358,291.8455920303061,19.0
2010,MDV,MDV,0.0,1,109.46782377238463,3.9549692257994122,32.0
2010,MEX,MEX,0.0,1,1966640.452981871,530.105549141174,202.0
2010,MHL,MHL,0.0,1,165.88526123999128,4.868596324476301,32.0
2010,MKD,MKD,0.0,1,25405.75394094823,60.25122901236612,11.0
2010,MLI,MLI,0.0,1,1259626.3884270475,424.2489161622844,16.0
2010,MLT,MLT,0.0,1,326.3699517792634,6.8289659928626705,32.0
2010,MMR,MMR,0.0,1,666446.0915686686,308.5903770083806,29.0
2010,MNE,MNE,0.0,1,13734.751397283524,44.30066727990624,32.0
2010,MNG,MNG,0.0,1,1564041.2475212147,472.7417597353978,32.0
2010,MNP,MNP,0.0,1,582.5949594990996,9.123956957014839,32.0
2010,MOZ,MOZ,0.0,1,792793.3618723585,336.57346121154814,25.0
2010,MRT,MRT,0.0,1,1041681.0465009187,385.80446316145316,10.0
2010,MUS,MUS,0.0,1,2024.7753660944727,17.00937243787117,32.0
2010,MWI,MWI,0.0,1,120116.51247629491,131.00902768912093,16.0
2010,MYS,MYS,0.0,1,330072.24215046293,217.17226858070444,
2010,MYS,MYS,0.0,1,330072.24215046293,217.17226858070444,
2010,MYS,MYS,0.0,1,330072.24215046293,217.17226858070444,
2010,MYS,MYS,0.0,1,330072.24215046293,217.17226858070444,58.0
2010,NAM,NAM,0.0,1,826670.8536212451,343.68943268825655,11.0
2010,NER,NER,0.0,1,1187814.339475749,411.9781170047427,49.0
2010,NGA,NGA,0.0,1,913257.2530690007,361.24049722159157,107.0
2010,NIC,NIC,0.0,1,129466.58487113452,136.01246527225464,13.0
2010,NLD,NLD,0.0,1,37337.03394394585,73.04151517859093,26.0
2010,NOR,NOR,420945690.624,1,380388.4039102435,233.13823318136133,28.0
2010,NPL,NPL,0.0,1,147653.2821628372,145.25176521673745,43.0
2010,NZL,NZL,0.0,1,268712.40980756446,195.94930534112098,38.0
2010,OMN,OMN,0.0,1,312789.26064491813,211.41012505217728,22.0
2010,PAK,PAK,0.0,1,875892.4420683886,353.77346543927746,
2010,PAK,PAK,0.0,1,875892.4420683886,353.77346543927746,
2010,PAK,PAK,0.0,1,875892.4420683886,353.77346543927746,
2010,PAK,PAK,0.0,1,875892.4420683886,353.77346543927746,111.0
2010,PAN,PAN,0.0,1,75010.52462212306,103.52874938423592,17.0
2010,PER,PER,0.0,1,1298027.443530577,430.6672068448556,62.0
2010,PHL,PHL,0.0,1,295090.12313245167,205.34172363368845,49.0
2010,PLW,PLW,0.0,1,495.142761152521,8.411337970661515,32.0
2010,PNG,PNG,0.0,1,468204.9027418169,258.65319350795875,10.0
2010,POL,POL,0.0,1,312917.0019581926,211.45328997776855,71.0
2010,PRI,PRI,98381266.944,1,9054.782711389153,35.96987121031778,32.0
2010,PRT,PRT,0.0,1,91507.43320391631,114.34786311486685,40.0
2010,PRY,PRY,0.0,1,401755.7004310196,239.5967319949157,38.0
2010,QAT,QAT,0.0,1,11197.801820941442,40.000576899392165,9.0
2010,ROU,ROU,0.0,1,236333.50375151556,183.76487908875302,32.0
2010,RUS,RUS,0.0,1,16923965.72327555,1555.073551075938,340.0
2010,RWA,RWA,0.0,1,25475.16623386471,60.33348052280529,32.0
2010,SAU,SAU,0.0,1,1930317.9160631802,525.1873866235695,130.0
2010,SEN,SEN,0.0,1,197383.46703173986,167.94042692760976,12.0
2010,SGP,SGP,0.0,1,513.9397682188127,8.56950977519336,10.0
2010,SLB,SLB,0.0,1,27373.259319368226,62.540755346638555,32.0
2010,SLE,SLE,0.0,1,72072.66798516254,101.48109995204032,7.0
2010,SLV,SLV,0.0,1,20662.181124872997,54.33603556389492,13.0
2010,SRB,SRB,0.0,1,77644.01708570102,105.33043180660214,32.0
2010,STP,STP,0.0,1,1044.1457800059843,12.214633349389302,32.0
