label,n_obs,n_intra,coef_log_d,coef_home,home_multiplier,n_zero,d_min
PPML_baseline_cepii,55185,197,-0.834209787785766,-5.012887509448726,0.006651668793210318,27132,
PPML_theta-5_dmin0.5km,55206,218,-0.8340892562069195,-8.10200232981439,0.0003029319607004052,27153,0.5
PPML_theta-5_dmin1.0km,55206,218,-0.8353201842382996,-7.590460783913305,0.000505248190080139,27153,1.0
PPML_theta-5_dmin5.0km,55206,218,-0.8339236668245804,-6.505334362194645,0.001495440656297246,27153,5.0
PPML_theta-5_dmin10.0km,55206,218,-0.8342525799808678,-6.072900640632479,0.002304479041062413,27153,10.0
PPML_theta-5_dmin50.0km,55206,218,-0.8337084412713047,-5.33582943434528,0.0048159139707800915,27153,50.0
PPML_theta-5_dmin100.0km,55206,218,-0.8342364164456589,-5.0392405773696956,0.006478666496516764,27153,100.0
PPML_theta-5_dmin500.0km,55206,218,-0.8304683643062097,-4.707156636371703,0.00903041787455784,27153,500.0
