label,n_obs,n_intra,coef_log_d,se_log_d,coef_home,se_home,home_multiplier,r2,year,theta,d_min,spec
A1_baseline_cepii_y2010,28053,10,-1.8361753909082554,0.019052037492370753,2.1322300199359336,0.6912555172683923,8.433653071269516,0.7130175653206605,2010,,,A1_baseline_cepii_intra
A2_baseline_polygon_y2010,28053,10,-1.836175390908254,0.01905203749237075,2.1584542152271395,0.6912291261903311,8.657744300199154,0.7130175653206605,2010,,,A2_baseline_polygon_intra
Bprime_y2010_theta-3.0_dmin0.5km,28053,10,-1.8361753909082617,0.01905203749237079,-1.1546663433873987,0.695398875740685,0.31516267547306515,0.7130175653206605,2010,-3.0,0.5,B_prime
Bprime_y2010_theta-3.0_dmin1.0km,28053,10,-1.836175390908256,0.019052037492370763,-0.36473736798842005,0.6942524542805657,0.6943789930842331,0.7130175653206605,2010,-3.0,1.0,B_prime
Bprime_y2010_theta-3.0_dmin2.0km,28053,10,-1.8361753909082548,0.019052037492370773,0.30779643393617206,0.6933512789335754,1.3604240245840133,0.7130175653206605,2010,-3.0,2.0,B_prime
Bprime_y2010_theta-3.0_dmin5.0km,28053,10,-1.8361753909082554,0.01905203749237077,1.1142596765482988,0.6923618364292357,3.0473113478377347,0.7130175653206605,2010,-3.0,5.0,B_prime
Bprime_y2010_theta-3.0_dmin10.0km,28053,10,-1.836175390908259,0.019052037492370773,1.6011447054251724,0.6918127961230505,4.958705433825242,0.7130175653206605,2010,-3.0,10.0,B_prime
Bprime_y2010_theta-3.0_dmin20.0km,28053,10,-1.8361753909082563,0.019052037492370777,1.9756118644149663,0.6914153406089185,7.211030477214165,0.7130175653206605,2010,-3.0,20.0,B_prime
Bprime_y2010_theta-3.0_dmin50.0km,28053,10,-1.8361753909082505,0.01905203749237075,2.336298852107114,0.6910529502476097,10.34288508692386,0.7130175653206605,2010,-3.0,50.0,B_prime
Bprime_y2010_theta-3.0_dmin100.0km,28053,10,-1.8361753909082537,0.01905203749237077,2.498597414588306,0.6908964365044646,12.165418949775987,0.7130175653206605,2010,-3.0,100.0,B_prime
Bprime_y2010_theta-3.0_dmin200.0km,28053,10,-1.8361753909082636,0.019052037492370794,2.5932248744942563,0.6908070599887074,13.372827831805184,0.7130175653206605,2010,-3.0,200.0,B_prime
Bprime_y2010_theta-3.0_dmin500.0km,28053,10,-1.836175390908257,0.019052037492370773,2.61002643720398,0.6907913354376781,13.599410377464636,0.7130175653206605,2010,-3.0,500.0,B_prime
Bprime_y2010_theta-5.0_dmin0.5km,28053,10,-1.8361753909082632,0.0190520374923708,-2.919380303081488,0.6983008091579516,0.053967120198242,0.7130175653206605,2010,-5.0,0.5,B_prime
Bprime_y2010_theta-5.0_dmin1.0km,28053,10,-1.8361753909082577,0.01905203749237077,-2.054051248486205,0.6968192343850721,0.12821442151749454,0.7130175653206605,2010,-5.0,1.0,B_prime
Bprime_y2010_theta-5.0_dmin2.0km,28053,10,-1.83617539090826,0.019052037492370794,-1.2927136535147152,0.6956089429288601,0.2745248061809285,0.7130175653206605,2010,-5.0,2.0,B_prime
Bprime_y2010_theta-5.0_dmin5.0km,28053,10,-1.836175390908258,0.019052037492370773,-0.3784755210726658,0.6942715818111278,0.6849047365831519,0.7130175653206605,2010,-5.0,5.0,B_prime
Bprime_y2010_theta-5.0_dmin10.0km,28053,10,-1.836175390908263,0.019052037492370794,0.20906922986304566,0.6934792464358911,1.2325303234821978,0.7130175653206605,2010,-5.0,10.0,B_prime
Bprime_y2010_theta-5.0_dmin20.0km,28053,10,-1.8361753909082503,0.019052037492370753,0.7047774259170101,0.6928517736337229,2.0233962792285154,0.7130175653206605,2010,-5.0,20.0,B_prime
Bprime_y2010_theta-5.0_dmin50.0km,28053,10,-1.83617539090825,0.019052037492370746,1.2821424774067083,0.6921684060992039,3.6043537054844936,0.7130175653206605,2010,-5.0,50.0,B_prime
Bprime_y2010_theta-5.0_dmin100.0km,28053,10,-1.8361753909082552,0.01905203749237078,1.5804443900981826,0.6918353970337408,4.85711378498263,0.7130175653206605,2010,-5.0,100.0,B_prime
Bprime_y2010_theta-5.0_dmin200.0km,28053,10,-1.8361753909082585,0.019052037492370756,1.8392915564416747,0.6915575290214343,6.292079098774772,0.7130175653206605,2010,-5.0,200.0,B_prime
Bprime_y2010_theta-5.0_dmin500.0km,28053,10,-1.8361753909082543,0.01905203749237074,2.0305119485661223,0.691358886399701,7.617985377337004,0.7130175653206605,2010,-5.0,500.0,B_prime
Bprime_y2010_theta-7.0_dmin0.5km,28053,10,-1.8361753909082572,0.01905203749237077,-3.3595759212826715,0.6990975377872821,0.03474999255268189,0.7130175653206605,2010,-7.0,0.5,B_prime
Bprime_y2010_theta-7.0_dmin1.0km,28053,10,-1.836175390908258,0.019052037492370767,-2.4942468666874094,0.6975588679347602,0.08255860561973057,0.7130175653206605,2010,-7.0,1.0,B_prime
Bprime_y2010_theta-7.0_dmin2.0km,28053,10,-1.8361753909082603,0.019052037492370794,-1.7329092717159595,0.6962980457258388,0.17676939097861818,0.7130175653206605,2010,-7.0,2.0,B_prime
